
Personal Information	Tab Corner Right	Student Services	Tab Corner Right	Financial Aid	Tab Corner Right	Employee Services	Tab Corner Right	Additional Academic Services	Tab Corner Right
Transparent Image
Search   
RETURN TO MENU | SITE MAP | HELP
Look-Up Classes to Add:

 	
988900485 Jay W. Brink
Fall 2013
Aug 14, 2013 07:40 pm
Transparent Image
 Information	 To register for classes, check the box in front of the CRN (C identifies a closed class, NR identifies class not available for registration at this time, and SR identifies student restrictions on class) and click Register or Add to Worksheet.
Stockton Students: To register for an Independent Study, Internship, Research or non-Engineering Co-op (course will be marked NR) - Click here.

Helpful Codes
WL = Cap, Act & Rem are used only by McGeorge School of Law
Location: NBA = No Building Assigned
Sec: L = Lab; D = Discussion; ON = Online;

Sections Found
ACTY - Activity
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	82336	CIVL	134	01	1	4.000	Groundwater	MW	05:00 pm-06:45 pm	20	4	16	0	0	0	0	0	0	Camilla M. Saviz (P)	08/26-12/13	KHOURY 203	 
SR	81661	CIVL	141	01	1	4.000	Foundation Design	MWF	12:30 pm-01:45 pm	30	20	10	0	0	0	0	0	0	Scott M. Merry (P)	08/26-12/13	CHMBRS 113	 
SR	81662	CIVL	165	01	1	4.000	Structural Steel Design	MWF	09:30 am-10:45 am	40	24	16	0	0	0	0	0	0	Hector Estrada (P)	08/26-12/13	KHOURY 203	 
NR	80778	CIVL	191	01	1	1.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Gary M. Litton (P)	08/26-12/13	TBA	 
SR	82421	CIVL	193A	01	1	3.000	Intro to Earthquake Engr.	MW	03:30 pm-04:45 pm	20	3	17	0	0	0	40	14	26	Hector Estrada (P)	08/26-12/13	KHOURY 203	 
NR	80779	CIVL	197	01	1	1.000-4.000	Undergraduate Research	 	TBA	1	0	1	0	0	0	0	0	0	Gary M. Litton (P)	08/26-12/13	TBA	 
SR	81412	CIVL	263	01	1	3.000	Earthquake Engineering	MW	03:30 pm-04:45 pm	20	11	9	0	0	0	40	14	26	Hector Estrada (P)	08/26-12/13	KHOURY 203	 
SR	82338	CIVL	275	01	1	3.000	Microbiology of Engineered Sys	 	TBA	15	6	9	0	0	0	0	0	0	William T. Stringfellow (P)	08/26-12/13	TBA	 
NR	81031	CIVL	291	01	1	1.000-4.000	Graduate Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Gary M. Litton (P)	08/26-12/13	TBA	 
SR	82337	CIVL	293A	01	1	3.000	Environ. System Analysis	TR	10:00 am-11:20 am	15	10	5	0	0	0	0	0	0	Mary Kay Camarillo (P)	08/26-12/13	CHMBRS 209	 
C	81032	CIVL	299	01	1	1.000-6.000	Thesis	 	TBA	1	1	0	0	0	0	0	0	0	Gary M. Litton (P)	08/26-12/13	TBA	 
SR	81434	CIVL	299	02	1	1.000-6.000	Thesis	 	TBA	5	0	5	0	0	0	0	0	0	Ravinder Jain (P)	08/26-12/13	TBA	 
CLAS - Classics
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	80557	CLAS	051	01	1	4.000	Classical Mythology	MWF	09:30 am-10:45 am	35	35	0	0	0	0	0	0	0	Martha Welborn Bowsky (P)	08/26-12/13	EDUCBU 208	GE I-C: Global Studies
SR	81702	CLAS	051	02	1	4.000	Classical Mythology	TR	03:00 pm-04:45 pm	35	33	2	0	0	0	0	0	0	Dylan Zorea (P)	08/26-12/13	CLASRM 204	GE I-C: Global Studies
SR	82229	CLAS	122	01	1	4.000	Sexuality in Roman Society	MWF	12:30 pm-01:45 pm	25	22	3	0	0	0	0	0	0	Martha Welborn Bowsky (P)	08/26-12/13	EDUCBU 206	GE II-B: Worldviews & Ethics and Gender Studies Courses
NR	80739	CLAS	191	01	1	2.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	George D Randels (P)	08/26-12/13	TBA	 
COMM - Communication
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	81711	COMM	025	01	1	2.000	Introduction to Communication	T	01:00 pm-02:45 pm	25	23	2	0	0	0	0	0	0	Marlin Clark Bates (P)	08/26-12/13	WPC 142	 
SR	80054	COMM	027	01	1	3.000	Public Speaking	M	03:30 pm-04:50 pm	105	103	2	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	CLASRM 238	GE II-A: Language & Literature and Pre-Law Courses
SR	80493	COMM	027	02	1	3.000	Public Speaking	M	05:30 pm-06:50 pm	105	93	12	0	0	0	0	0	0	TBA	08/26-12/13	CLASRM 238	GE II-A: Language & Literature and Pre-Law Courses
SR	82590	COMM	027	03	1	3.000	Public Speaking,No Disc Needed	TR	08:30 am-09:45 am	25	11	14	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	WPC 243	GE II-A: Language & Literature and Pre-Law Courses
C	80391	COMM	027	D01	1	0.000	Public Speaking, Discussion 1	WF	09:30 am-10:45 am	25	25	0	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	MCCAFF SPRUCE	GE II-A: Language & Literature and Pre-Law Courses
SR	80428	COMM	027	D02	1	0.000	Public Speaking, Discussion 2	WF	09:30 am-10:45 am	25	23	2	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	COLLIV 201	GE II-A: Language & Literature and Pre-Law Courses
C	80429	COMM	027	D03	1	0.000	Public Speaking, Discussion 3	WF	11:00 am-12:15 pm	25	25	0	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	COLLIV 201	GE II-A: Language & Literature and Pre-Law Courses
C	80430	COMM	027	D04	1	0.000	Public Speaking, Discussion 4	WF	12:30 pm-01:45 pm	25	25	0	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	MCCAFF SPRUCE	GE II-A: Language & Literature and Pre-Law Courses
SR	80431	COMM	027	D05	1	0.000	Public Speaking, Discussion 5	TR	10:00 am-11:15 am	25	24	1	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	GEO 101	GE II-A: Language & Literature and Pre-Law Courses
C	80432	COMM	027	D06	1	0.000	Public Speaking, Discussion 6	WF	11:00 am-12:15 pm	25	25	0	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	CLASRM B2	GE II-A: Language & Literature and Pre-Law Courses
SR	80433	COMM	027	D07	1	0.000	Public Speaking, Discussion 7	TR	08:00 am-09:15 am	25	24	1	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	WPC 213	GE II-A: Language & Literature and Pre-Law Courses
C	80462	COMM	027	D08	1	0.000	Public Speaking, Discussion 8	TR	10:00 am-11:15 am	25	25	0	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	EDUCBU 206	GE II-A: Language & Literature and Pre-Law Courses
C	80055	COMM	031	01	1	3.000	Media and Society	MWF	08:00 am-09:15 am	40	40	0	0	0	0	0	0	0	Robert Alan Ray (P)	08/26-12/13	WPC 219	GE I-B: U.S. Studies
C	82582	COMM	031	02	1	3.000	Media and Society	MWF	12:30 pm-01:45 pm	20	20	0	0	0	0	0	0	0	Paul B Turpin (P)	08/26-12/13	EDUCBU 208	GE I-B: U.S. Studies
SR	80056	COMM	043	01	1	3.000	Intro. to Interpersonal Comm.	T	03:00 pm-04:45 pm	100	98	2	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	BIOBLG 101	GE I-A: Indiv. & Interp. Beh.
SR	80057	COMM	043	D01	1	0.000	Intro/Interpers. Comm., Disc 1	W	10:00 am-10:50 am	20	19	1	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	WPC 131	GE I-A: Indiv. & Interp. Beh.
C	80058	COMM	043	D02	1	0.000	Intro/Interpers. Comm., Disc 2	W	11:00 am-11:50 am	20	20	0	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	EDUCBU 117	GE I-A: Indiv. & Interp. Beh.
C	80059	COMM	043	D03	1	0.000	Intro/Interpers. Comm., Disc 3	W	07:00 pm-07:50 pm	20	20	0	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	WPC 224	GE I-A: Indiv. & Interp. Beh.
SR	80060	COMM	043	D04	1	0.000	Intro/Interpers. Comm., Disc 4	R	01:00 pm-01:50 pm	20	19	1	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	WPC 131	GE I-A: Indiv. & Interp. Beh.
C	80061	COMM	043	D05	1	0.000	Intro/Interpers. Comm., Disc 5	R	02:00 pm-02:50 pm	20	20	0	0	0	0	0	0	0	Randall J. Koper (P)	08/26-12/13	WPC 131	GE I-A: Indiv. & Interp. Beh.
SR	80518	COMM	050	01	1	3.000	Intro. to Communication Tech.	M	09:30 am-10:45 am	20	19	1	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 112	 
C	81735	COMM	050	L01	1	0.000	Intro. to Comm. Tech., Lab 1	T	08:00 am-09:15 am	5	5	0	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 112	 
C	81736	COMM	050	L02	1	0.000	Intro. to Comm. Tech., Lab 2	T	10:00 am-11:15 am	5	5	0	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 112	 
C	82203	COMM	050	L03	1	0.000	Intro. to Comm. Tech., Lab 3	W	09:30 am-10:45 am	5	5	0	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 112	 
SR	82204	COMM	050	L04	1	0.000	Intro. to Comm. Tech., Lab 4	F	09:30 am-10:45 am	5	4	1	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 112	 
NR	81014	COMM	087	01	1	1.000-4.000	Internship	 	TBA	1	0	1	0	0	0	0	0	0	TBA	08/26-12/13	TBA	 
NR	80715	COMM	089	01	1	1.000	Practicum	TWR	06:00 pm-09:00 pm	10	0	10	0	0	0	0	0	0	Marlin Clark Bates (P)	08/26-12/13	PSYCOM 012	 
C	81280	COMM	131	01	1	4.000	Media Production	MWF	09:30 am-10:45 am	25	25	0	5	0	5	0	0	0	Robert Alan Ray (P)	08/26-12/13	EDUCBU 206	Film Studies Courses
SR	81225	COMM	135	01	1	4.000	Principles of Public Relations	TR	01:00 pm-02:45 pm	25	12	13	0	0	0	0	0	0	Heather J Hether (P)	08/26-12/13	CLASRM 205	 
SR	82205	COMM	139	01	1	4.000	Theory of Mass Communication	MWF	12:30 pm-01:45 pm	20	13	7	0	0	0	25	13	12	Kenneth D. Day (P)	08/26-12/13	PSYCOM 012	 
SR	81222	COMM	140	01	1	4.000	Writing for Public Relations	TR	10:00 am-11:45 am	16	3	13	0	0	0	0	0	0	David W. Frederickson (P)	08/26-12/13	WPC 203	 
C	80904	COMM	143	01	1	4.000	Intercultural Communication	MWF	03:30 pm-04:45 pm	22	22	0	0	0	0	0	0	0	Kenneth D. Day (P)	08/26-12/13	PSYCOM 012	Ethnic Studies Courses and GE I-C: Global Studies and SIS Comparing World Religions
C	80062	COMM	145	01	1	4.000	Human Communication Theory	TR	10:00 am-11:45 am	25	45	-20	0	0	0	30	45	-15	Randall J. Koper (P)	08/26-12/13	CLASRM 238	 
SR	80652	COMM	149	01	1	4.000	Intro. to Organizational Comm.	TR	03:00 pm-04:45 pm	20	13	7	0	0	0	0	0	0	TBA	08/26-12/13	PSYCOM 012	 
C	80574	COMM	150	01	1	4.000	The Capstone	TR	01:00 pm-02:45 pm	20	20	0	0	0	0	0	0	0	Teresa Gale Bergman (P)	08/26-12/13	PSYCOM 012	 
C	80903	COMM	151	01	1	2.000	Community Based Learning	MW	02:00 pm-03:15 pm	15	15	0	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	PSYCOM 012	 
SR	80063	COMM	160	01	1	4.000	Communication Research Methods	MW	11:00 am-12:15 pm	20	17	3	0	0	0	25	17	8	Qingwen Dong (P)	08/26-12/13	PSYCOM 112	 
 	 	 	 	 	 	 	 	F	11:00 am-12:15 pm	 	 	 	 	 	 	 	 	 	Qingwen Dong (P)	08/26-12/13	PSYCOM 012	 
NR	80716	COMM	187	01	1	2.000-4.000	Internship	 	TBA	1	0	1	0	0	0	0	0	0	Qingwen Dong (P)	08/26-12/13	TBA	 
NR	81174	COMM	189	01	1	1.000-4.000	Practicum	 	TBA	1	0	1	0	0	0	0	0	0	TBA	08/26-12/13	TBA	 
NR	80719	COMM	191	01	1	2.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Qingwen Dong (P)	08/26-12/13	TBA	 
NR	80720	COMM	197	01	1	2.000-4.000	Independent Research	 	TBA	1	0	1	0	0	0	0	0	0	Qingwen Dong (P)	08/26-12/13	TBA	 
SR	82408	COMM	239	01	1	4.000	Theory of Mass Communication	MWF	12:30 pm-01:45 pm	20	0	20	0	0	0	25	13	12	Kenneth D. Day (P)	08/26-12/13	PSYCOM 012	 
C	80714	COMM	245	01	1	4.000	Human Communication Theory	TR	10:00 am-11:45 am	5	0	5	0	0	0	30	45	-15	Randall J. Koper (P)	08/26-12/13	CLASRM 238	 
SR	81223	COMM	249	01	1	4.000	Intro. to Organizational Comm.	TR	03:00 pm-04:45 pm	5	0	5	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	CLASRM 206	 
SR	81224	COMM	260	01	1	4.000	Communication Research Methods	MW	11:00 am-12:15 pm	5	0	5	0	0	0	25	17	8	Qingwen Dong (P)	08/26-12/13	PSYCOM 112	 
 	 	 	 	 	 	 	 	F	11:00 am-12:15 pm	 	 	 	 	 	 	 	 	 	Qingwen Dong (P)	08/26-12/13	PSYCOM 012	 
SR	81215	COMM	261	01	1	4.000	Grad Sem: Crit & Qual Res Meth	T	05:00 pm-08:30 pm	14	2	12	0	0	0	0	0	0	Teresa Gale Bergman (P)	08/26-12/13	WPC 202	 
SR	82206	COMM	271	01	1	4.000	Grad. Sem.: Rhetorical Thought	M	05:00 pm-08:30 pm	15	6	9	0	0	0	0	0	0	Marlin Clark Bates (P)	08/26-12/13	PSYCOM 118	 
SR	82207	COMM	275	01	1	4.000	Grad. Sem. in Public Relations	R	04:00 pm-07:30 pm	15	7	8	0	0	0	0	0	0	Heather J Hether (P)	08/26-12/13	WPC 219	 
NR	80717	COMM	287	01	1	2.000/4.000	Graduate Internship	 	TBA	10	0	10	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	TBA	 
NR	80721	COMM	291	01	1	2.000-4.000	Graduate Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	TBA	 
NR	80722	COMM	297	01	1	1.000-4.000	Graduate Research	 	TBA	1	0	1	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	TBA	 
SR	80871	COMM	299	01	1	2.000/4.000	Thesis	 	TBA	10	0	10	0	0	0	0	0	0	Qingwen Dong (P)	08/26-12/13	TBA	 
SR	80718	COMM	299	02	1	2.000/4.000	Thesis	 	TBA	10	1	9	0	0	0	0	0	0	Jon Frederick Schamber (P)	08/26-12/13	TBA	 
SR	81772	COMM	299	03	1	2.000/4.000	Thesis	 	TBA	10	0	10	0	0	0	0	0	0	Teresa Gale Bergman (P)	08/26-12/13	TBA	 
COMP - Computer Science
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	80069	COMP	025	01	1	4.000	Computers and Info. Processing	MWF	11:00 am-12:15 pm	24	24	0	0	0	0	0	0	0	Cathryn Lynn Carlson (P)	08/26-12/13	CSB 111	GE III-B: Math. & Formal Logic
SR	80070	COMP	025	02	1	4.000	Computers and Info. Processing	MWF	12:30 pm-01:45 pm	24	23	1	0	0	0	0	0	0	Cathryn Lynn Carlson (P)	08/26-12/13	CSB 111	GE III-B: Math. & Formal Logic
C	80539	COMP	025	03	1	4.000	Computers and Info. Processing	TR	03:00 pm-04:45 pm	24	24	0	0	0	0	0	0	0	Cathryn Lynn Carlson (P), Bradley A Dunlap	08/26-12/13	CSB 111	GE III-B: Math. & Formal Logic
SR	80647	COMP	025	04	1	4.000	Computers and Info. Processing	TR	05:00 pm-06:45 pm	24	23	1	0	0	0	0	0	0	Cathryn Lynn Carlson (P), Bradley A Dunlap	08/26-12/13	CSB 111	GE III-B: Math. & Formal Logic
SR	81197	COMP	025	05	1	4.000	Computers and Info. Processing	MWF	02:00 pm-03:15 pm	24	23	1	0	0	0	0	0	0	Cathryn Lynn Carlson (P)	08/26-12/13	CSB 111	GE III-B: Math. & Formal Logic
SR	81710	COMP	041	01	1	4.000	Great Ideas in Computing	MWF	09:30 am-10:45 am	20	5	15	0	0	0	0	0	0	Cathryn Lynn Carlson (P)	08/26-12/13	BUCK 123	GE III-C: Science, Tech., Soc.
C	80071	COMP	051	01	1	4.000	Intro. to Computer Science	MWF	08:00 am-09:15 am	33	33	0	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	CHMBRS 114	GE III-B: Math. & Formal Logic
SR	80434	COMP	051	02	1	4.000	Intro. to Computer Science	MWF	11:00 am-12:15 pm	33	31	2	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	CHMBRS 114	GE III-B: Math. & Formal Logic
SR	81245	COMP	051	03	1	4.000	Intro. to Computer Science	MWF	09:30 am-10:45 am	33	32	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	CHMBRS 114	GE III-B: Math. & Formal Logic
C	81860	COMP	051	04	1	4.000	Intro. to Computer Science	MWF	09:30 am-10:45 am	0	0	0	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	KHOURY 207	GE III-B: Math. & Formal Logic
SR	80072	COMP	053	01	1	4.000	Data Structures	MWF	11:00 am-12:15 pm	23	17	6	0	0	0	0	0	0	Emma J. Bowring (P)	08/26-12/13	KHOURY 207	 
SR	81218	COMP	101	01	1	4.000	Application Development	MWF	09:30 am-10:45 am	25	24	1	0	0	0	0	0	0	Daniel C Cliburn (P)	08/26-12/13	CHMBRS 113	 
SR	81422	COMP	101	02	1	4.000	Application Development	MWF	11:00 am-12:15 pm	25	24	1	0	0	0	0	0	0	Daniel C Cliburn (P)	08/26-12/13	CHMBRS 113	 
C	80073	COMP	147	01	1	4.000	Computing Theory	MWF	11:00 am-12:15 pm	25	32	-7	0	0	0	0	0	0	Michael Edward Doherty (P)	08/26-12/13	ANDERH 216	 
SR	82331	COMP	151	01	1	3.000	Artificial Intelligence	MWF	12:30 pm-01:20 pm	30	28	2	0	0	0	30	28	2	Emma J. Bowring (P)	08/26-12/13	CHMBRS 114	 
C	81715	COMP	157	01	1	4.000	Design/Analysis of Algorithms	MWF	02:00 pm-03:15 pm	30	31	-1	0	0	0	0	0	0	Jinzhu Gao (P)	08/26-12/13	CHMBRS 114	 
C	82332	COMP	159	01	1	4.000	Computer Game Technologies	MWF	03:30 pm-04:50 pm	25	25	0	0	0	0	0	0	0	Michael Edward Doherty (P)	08/26-12/13	CHMBRS 114	 
SR	81410	COMP	173	01	1	4.000	Operating Systems	MWF	09:30 am-10:45 am	25	16	9	0	0	0	0	0	0	Jinzhu Gao (P)	08/26-12/13	CSB 111	 
SR	81411	COMP	175	01	1	3.000	System Admin and Security	TR	08:00 am-09:20 am	34	18	16	0	0	0	0	0	0	Martin Maxwell (P)	08/26-12/13	CHMBRS 114	 
SR	80933	COMP	177	01	1	4.000	Computer Networking	TR	10:00 am-11:45 am	14	9	5	0	0	0	35	12	23	Jeffrey A. Shafer (P)	08/26-12/13	CHMBRS 115	 
SR	80934	COMP	177	L01	1	0.000	Computer Networking, Lab 1	T	02:00 pm-04:50 pm	14	9	5	0	0	0	35	12	23	Jeffrey A. Shafer (P)	08/26-12/13	BAUNHA 214	 
NR	80917	COMP	187	01	1	1.000-4.000	Internship in Computer Science	 	TBA	1	0	1	0	0	0	0	0	0	Calvin P Chen (P)	08/26-12/13	TBA	 
C	81067	COMP	188	01	1	2.000	Senior Project I	 	TBA	20	22	-2	0	0	0	0	0	0	Daniel C Cliburn (P)	08/26-12/13	TBA	 
SR	81234	COMP	189	01	1	2.000	Senior Project II	 	TBA	25	3	22	0	0	0	0	0	0	Daniel C Cliburn (P)	08/26-12/13	TBA	 
NR	80780	COMP	191	01	1	1.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	William H. Ford (P)	08/26-12/13	TBA	 
NR	80781	COMP	197	01	1	1.000-4.000	Undergraduate Research	 	TBA	1	0	1	0	0	0	0	0	0	William H. Ford (P)	08/26-12/13	TBA	 
SR	82460	COMP	241	01	1	3.000	Programming Language Semantics	TR	01:00 pm-02:20 pm	20	11	9	0	0	0	0	0	0	Michael Edward Doherty (P)	08/26-12/13	CLASRM 224	 
SR	82334	COMP	293B	01	1	3.000	Comp Ntwrk Sec Assmt/Assurance	TR	10:00 am-11:20 am	25	12	13	0	0	0	0	0	0	Martin Maxwell (P)	08/26-12/13	CSB 111	 
SR	81236	COMP	299	01	1	1.000-6.000	Thesis	 	TBA	10	1	9	0	0	0	0	0	0	Jinzhu Gao (P)	08/26-12/13	TBA	 
SR	81264	COMP	299	02	1	1.000-6.000	Thesis	 	TBA	5	0	5	0	0	0	0	0	0	William H. Ford (P)	08/26-12/13	TBA	 
SR	81807	COMP	299	03	1	1.000-6.000	Thesis	 	TBA	5	0	5	0	0	0	0	0	0	Michael Edward Doherty (P)	08/26-12/13	TBA	 
SR	81822	COMP	299	04	1	1.000-6.000	Thesis	 	TBA	5	0	5	0	0	0	0	0	0	Jeffrey A. Shafer (P)	08/26-12/13	TBA	 
SR	82011	COMP	299	05	1	1.000-6.000	Thesis	 	TBA	10	0	10	0	0	0	0	0	0	Emma J. Bowring (P)	08/26-12/13	TBA	 
COOP - University Wide Co-Op
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	81367	COOP	088	01	1	1.000	Career Exploration & Planning	T	03:00 pm-04:00 pm	19	8	11	0	0	0	0	0	0	TBA	08/26-12/13	EDUCBU 205	 
NR	80816	COOP	092	01	1	1.000-4.000	Co-op Internship	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	81368	COOP	188	01	1	1.000	Career Search Essentials	W	11:00 am-12:00 pm	16	4	12	0	0	0	0	0	0	Caroline A. Herrod	08/26-12/13	WPC 218	 
NR	80817	COOP	192	01	1	2.000-4.000	Co-op Internship	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
COPD - College of the Pacific
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	82569	COPD	010	01	1	1.000	COP Exploratory Deans Seminar	M	05:00 pm-05:50 pm	170	75	95	0	0	0	0	0	0	Rena Fraden (P)	08/26-12/13	BIOBLG 101	 
DHYG - Dental Hygiene
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	80577	DHYG	131	01	1	4.000	Community Oral Health	T	08:00 am-11:50 am	24	17	7	0	0	0	0	0	0	Deborah J. Horlak (P)	09/03-12/12	PHS 110	 
SR	80578	DHYG	132	01	1	2.000	Patient Mgmt/Special Needs	M	08:00 am-09:50 am	24	17	7	0	0	0	0	0	0	Marlene Bravo Storz (P)	09/03-12/12	PHS 110	 
SR	80589	DHYG	133	01	1	1.000	Medical/Dental Emergencies II	T	01:00 pm-01:50 pm	24	17	7	0	0	0	0	0	0	Deborah J. Horlak (P)	09/03-12/12	PHS 113	 
SR	80588	DHYG	135	01	1	1.000	Dental Hygiene Clinic II-Lec.	M	10:00 am-11:50 am	24	17	7	0	0	0	0	0	0	Paula Watson (P)	09/03-12/12	PHS 110	 
SR	80597	DHYG	136	01	1	7.000	Dental Hygiene Clinic II-Clin	WR	08:00 am-05:00 pm	24	17	7	0	0	0	0	0	0	Paula Watson (P)	09/03-12/12	PHS 109	 
SR	80920	DHYG	143	01	1	2.000	Biochemistry and Nutrition	T	02:00 pm-03:50 pm	24	17	7	0	0	0	0	0	0	Paula Watson (P)	09/03-12/12	PHS 113	 
ECON - Economics
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	80074	ECON	051	01	1	3.000	Economic Principles & Problems	TR	08:00 am-09:45 am	50	44	6	0	0	0	0	0	0	Dennis O. Flynn (P)	08/26-12/13	WPC 140	GE I-B: U.S. Studies
SR	80435	ECON	051	02	1	3.000	Economic Principles & Problems	TR	10:00 am-11:45 am	50	49	1	0	0	0	0	0	0	Dennis O. Flynn (P)	08/26-12/13	WPC 140	GE I-B: U.S. Studies
C	81452	ECON	053	01	1	4.000	Introductory Microeconomics	TR	01:00 pm-02:45 pm	50	50	0	0	0	0	0	0	0	Joel Beutel (P)	08/26-12/13	CLASRM 104	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
C	81841	ECON	053	02	1	4.000	Introductory Microeconomics	MW	03:30 pm-05:15 pm	33	33	0	0	0	0	0	0	0	Peter J. Meyer (P)	08/26-12/13	WPC 130	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80075	ECON	053	03	1	4.000	Intro Microecon-Use Disc 1-4	MW	02:00 pm-03:15 pm	90	51	39	0	0	0	0	0	0	Michelle Maurine Amaral (P)	08/26-12/13	WPC 140	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80763	ECON	053	D01	1	0.000	Intro. Microeconomics, Disc 1	F	09:30 am-10:45 am	25	13	12	0	0	0	0	0	0	Michelle Maurine Amaral (P)	08/26-12/13	CLASRM 232	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80764	ECON	053	D02	1	0.000	Intro. Microeconomics, Disc 2	F	11:00 am-12:15 pm	25	12	13	0	0	0	0	0	0	Michelle Maurine Amaral (P)	08/26-12/13	CLASRM 232	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80923	ECON	053	D03	1	0.000	Intro. Microeconomics, Disc 3	F	02:00 pm-03:15 pm	25	19	6	0	0	0	0	0	0	Michelle Maurine Amaral (P)	08/26-12/13	CLASRM 232	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80924	ECON	053	D04	1	0.000	Intro. Microeconomics, Disc 4	F	03:30 pm-04:45 pm	25	7	18	0	0	0	0	0	0	Michelle Maurine Amaral (P)	08/26-12/13	CLASRM 232	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
SR	80076	ECON	053	H	1	4.000	Intro. Microeconomics, Honors	MWF	11:00 am-12:15 pm	20	18	2	0	0	0	0	0	0	Peter J. Meyer (P)	08/26-12/13	WPC 130	GE I-A: Indiv. & Interp. Beh. and Pre-Law Courses
